Title,Content,Cleaned_Content
The Aliens,"you may not believe it
but there are people
who go through life with
very little
friction or
distress.
they dress well, eat
well, sleep well.
they are contented with
their family
life.
they have moments of
grief
but all in all
they are undisturbed
and often feel
very good.
and when they die
it is an easy
death, usually in their
sleep.
you may not believe
it
but such people do
exist.
but I am not one of
them.
oh no, I am not one
of them,
I am not even near
to being
one of
them
but they are
there
and I am
here.",you may not believe it but there are people who go through life with very little friction or distress they dress well eat well sleep well they are contented with their family life they have moments of grief but all in all they are undisturbed and often feel very good and when they die it is an easy death usually in their sleep you may not believe it but such people do exist but i am not one of them oh no i am not one of them i am not even near to being one of them but they are there and i am here
How Is Your Heart?,"during my worst times
on the park benches
in the jails
or living with
whores
I always had this certain
contentment-
I wouldn't call it
happiness-
it was more of an inner
balance
that settled for
whatever was occuring
and it helped in the
factories
and when relationships
went wrong
with the
girls.",during my worst times on the park benches in the jails or living with whores i always had this certain contentment i wouldnt call it happiness it was more of an inner balance that settled for whatever was occuring and it helped in the factories and when relationships went wrong with the girls
Cut While Shaving,"It's never quite right, he said, the way people look,
the way the music sounds, the way the words are
written.
It's never quite right, he said, all the things we are
taught, all the loves we chase, all the deaths we
die, all the lives we live,
they are never quite right,
they are hardly close to right,
these lives we live
one after the other,
piled there as history,
the waste of the species,
the crushing of the light and the way,
it's not quite right,
it's hardly right at all
he said.
don't I know it? I
answered.
I walked away from the mirror.
it was morning, it was afternoon, it was
night
nothing changed
it was locked in place.
something flashed, something broke, something
remained.
I walked down the stairway and
into it.
Submitted by Tom",its never quite right he said the way people look the way the music sounds the way the words are written its never quite right he said all the things we are taught all the loves we chase all the deaths we die all the lives we live they are never quite right they are hardly close to right these lives we live one after the other piled there as history the waste of the species the crushing of the light and the way its not quite right its hardly right at all he said dont i know it i answered i walked away from the mirror it was morning it was afternoon it was night nothing changed it was locked in place something flashed something broke something remained i walked down the stairway and into it submitted by tom
"We Ain'T Got No Money, Honey, But We Got Rain","call it the greenhouse effect or whatever
but it just doesn't rain like it used to.
I particularly remember the rains of the
depression era.
there wasn't any money but there was
plenty of rain.
it wouldn't rain for just a night or
a day,
it would RAIN for 7 days and 7
nights
and in Los Angeles the storm drains
weren't built to carry off taht much
water
and the rain came down THICK and
MEAN and
STEADY
and you HEARD it banging against
the roofs and into the ground
waterfalls of it came down
from roofs
and there was HAIL
big ROCKS OF ICE
bombing
exploding smashing into things
and the rain
just wouldn't
STOP
and all the roofs leaked-
dishpans,
cooking pots
were placed all about;
they dripped loudly
and had to be emptied
again and
again.
the rain came up over the street curbings,
across the lawns, climbed up the steps and
entered the houses.
there were mops and bathroom towels,
and the rain often came up through the
toilets:bubbling, brown, crazy,whirling,
and all the old cars stood in the streets,
cars that had problems starting on a
sunny day,
and the jobless men stood
looking out the windows
at the old machines dying
like living things out there.
the jobless men,
failures in a failing time
were imprisoned in their houses with their
wives and children
and their
pets.
the pets refused to go out
and left their waste in
strange places.
the jobless men went mad
confined with
their once beautiful wives.
there were terrible arguments
as notices of foreclosure
fell into the mailbox.
rain and hail, cans of beans,
bread without butter; fried
eggs, boiled eggs, poached
eggs; peanut butter
sandwiches, and an invisible
chicken in every pot.
my father, never a good man
at best, beat my mother
when it rained
as I threw myself
between them,
the legs, the knees, the
screams
until they
seperated.
'I'll kill you,' I screamed
at him. 'You hit her again
and I'll kill you! '
'Get that son-of-a-bitching
kid out of here! '
'no, Henry, you stay with
your mother! '
all the households were under
seige but I believe that ours
held more terror than the
average.
and at night
as we attempted to sleep
the rains still came down
and it was in bed
in the dark
watching the moon against
the scarred window
so bravely
holding out
most of the rain,
I thought of Noah and the
Ark
and I thought, it has come
again.
we all thought
that.
and then, at once, it would
stop.
and it always seemed to
stop
around 5 or 6 a.m.,
peaceful then,
but not an exact silence
because things continued to
drip
drip
drip
and there was no smog then
and by 8 a.m.
there was a
blazing yellow sunlight,
Van Gogh yellow-
crazy, blinding!
and then
the roof drains
relieved of the rush of
water
began to expand in the warmth:
PANG! PANG! PANG!
and everybody got up and looked outside
and there were all the lawns
still soaked
greener than green will ever
be
and there were birds
on the lawn
CHIRPING like mad,
they hadn't eaten decently
for 7 days and 7 nights
and they were weary of
berries
and
they waited as the worms
rose to the top,
half drowned worms.
the birds plucked them
up
and gobbled them
down; there were
blackbirds and sparrows.
the blackbirds tried to
drive the sparrows off
but the sparrows,
maddened with hunger,
smaller and quicker,
got their
due.
the men stood on their porches
smoking cigarettes,
now knowing
they'd have to go out
there
to look for that job
that probably wasn't
there, to start that car
that probably wouldn't
start.
and the once beautiful
wives
stood in their bathrooms
combing their hair,
applying makeup,
trying to put their world back
together again,
trying to forget that
awful sadness that
gripped them,
wondering what they could
fix for
breakfast.
and on the radio
we were told that
school was now
open.
and
soon
there I was
on the way to school,
massive puddles in the
street,
the sun like a new
world,
my parents back in that
house,
I arrived at my classroom
on time.
Mrs. Sorenson greeted us
with, 'we won't have our
usual recess, the grounds
are too wet.'
'AW! ' most of the boys
went.
'but we are going to do
something special at
recess,' she went on,
'and it will be
fun! '
well, we all wondered
what that would
be
and the two hour wait
seemed a long time
as Mrs.Sorenson
went about
teaching her
lessons.
I looked at the little
girls, they looked so
pretty and clean and
alert,
they sat still and
straight
and their hair was
beautiful
in the California
sunshine.
the the recess bells rang
and we all waited for the
fun.
then Mrs. Sorenson told us:
'now, what we are going to
do is we are going to tell
each other what we did
during the rainstorm!
we'll begin in the front row
and go right around!
now, Michael, you're first! ...'
well, we all began to tell
our stories, Michael began
and it went on and on,
and soon we realized that
we were all lying, not
exactly lying but mostly
lying and some of the boys
began to snicker and some
of the girls began to give
them dirty looks and
Mrs.Sorenson said,
'all right! I demand a
modicum of silence
here!
I am interested in what
you did
during the rainstorm
even if you
aren't! '
so we had to tell our
stories and they were
stories.
one girl said that
when the rainbow first
came
she saw God's face
at the end of it.
only she didn't say which end.
one boy said he stuck
his fishing pole
out the window
and caught a little
fish
and fed it to his
cat.
almost everybody told
a lie.
the truth was just
too awful and
embarassing to tell.
then the bell rang
and recess was
over.
'thank you,' said Mrs.
Sorenson, 'that was very
nice.
and tomorrow the grounds
will be dry
and we will put them
to use
again.'
most of the boys
cheered
and the little girls
sat very straight and
still,
looking so pretty and
clean and
alert,
their hair beautiful in a sunshine that
the world might never see
again.
and",call it the greenhouse effect or whatever but it just doesnt rain like it used to i particularly remember the rains of the depression era there wasnt any money but there was plenty of rain it wouldnt rain for just a night or a day it would rain for days and nights and in los angeles the storm drains werent built to carry off taht much water and the rain came down thick and mean and steady and you heard it banging against the roofs and into the ground waterfalls of it came down from roofs and there was hail big rocks of ice bombing exploding smashing into things and the rain just wouldnt stop and all the roofs leaked dishpans cooking pots were placed all about they dripped loudly and had to be emptied again and again the rain came up over the street curbings across the lawns climbed up the steps and entered the houses there were mops and bathroom towels and the rain often came up through the toiletsbubbling brown crazywhirling and all the old cars stood in the streets cars that had problems starting on a sunny day and the jobless men stood looking out the windows at the old machines dying like living things out there the jobless men failures in a failing time were imprisoned in their houses with their wives and children and their pets the pets refused to go out and left their waste in strange places the jobless men went mad confined with their once beautiful wives there were terrible arguments as notices of foreclosure fell into the mailbox rain and hail cans of beans bread without butter fried eggs boiled eggs poached eggs peanut butter sandwiches and an invisible chicken in every pot my father never a good man at best beat my mother when it rained as i threw myself between them the legs the knees the screams until they seperated ill kill you i screamed at him you hit her again and ill kill you get that sonofabitching kid out of here no henry you stay with your mother all the households were under seige but i believe that ours held more terror than the average and at night as we attempted to sleep the rains still came down and it was in bed in the dark watching the moon against the scarred window so bravely holding out most of the rain i thought of noah and the ark and i thought it has come again we all thought that and then at once it would stop and it always seemed to stop around or am peaceful then but not an exact silence because things continued to drip drip drip and there was no smog then and by am there was a blazing yellow sunlight van gogh yellow crazy blinding and then the roof drains relieved of the rush of water began to expand in the warmth pang pang pang and everybody got up and looked outside and there were all the lawns still soaked greener than green will ever be and there were birds on the lawn chirping like mad they hadnt eaten decently for days and nights and they were weary of berries and they waited as the worms rose to the top half drowned worms the birds plucked them up and gobbled them down there were blackbirds and sparrows the blackbirds tried to drive the sparrows off but the sparrows maddened with hunger smaller and quicker got their due the men stood on their porches smoking cigarettes now knowing theyd have to go out there to look for that job that probably wasnt there to start that car that probably wouldnt start and the once beautiful wives stood in their bathrooms combing their hair applying makeup trying to put their world back together again trying to forget that awful sadness that gripped them wondering what they could fix for breakfast and on the radio we were told that school was now open and soon there i was on the way to school massive puddles in the street the sun like a new world my parents back in that house i arrived at my classroom on time mrs sorenson greeted us with we wont have our usual recess the grounds are too wet aw most of the boys went but we are going to do something special at recess she went on and it will be fun well we all wondered what that would be and the two hour wait seemed a long time as mrssorenson went about teaching her lessons i looked at the little girls they looked so pretty and clean and alert they sat still and straight and their hair was beautiful in the california sunshine the the recess bells rang and we all waited for the fun then mrs sorenson told us now what we are going to do is we are going to tell each other what we did during the rainstorm well begin in the front row and go right around now michael youre first well we all began to tell our stories michael began and it went on and on and soon we realized that we were all lying not exactly lying but mostly lying and some of the boys began to snicker and some of the girls began to give them dirty looks and mrssorenson said all right i demand a modicum of silence here i am interested in what you did during the rainstorm even if you arent so we had to tell our stories and they were stories one girl said that when the rainbow first came she saw gods face at the end of it only she didnt say which end one boy said he stuck his fishing pole out the window and caught a little fish and fed it to his cat almost everybody told a lie the truth was just too awful and embarassing to tell then the bell rang and recess was over thank you said mrs sorenson that was very nice and tomorrow the grounds will be dry and we will put them to use again most of the boys cheered and the little girls sat very straight and still looking so pretty and clean and alert their hair beautiful in a sunshine that the world might never see again and
Sway With Me,"sway with me, everything sad -
madmen in stone houses
without doors,
lepers steaming love and song
frogs trying to figure
the sky;
sway with me, sad things -
fingers split on a forge
old age like breakfast shell
used books, used people
used flowers, used love
I need you
I need you
I need you:
it has run away
like a horse or a dog,
dead or lost
or unforgiving.",sway with me everything sad madmen in stone houses without doors lepers steaming love and song frogs trying to figure the sky sway with me sad things fingers split on a forge old age like breakfast shell used books used people used flowers used love i need you i need you i need you it has run away like a horse or a dog dead or lost or unforgiving
I'm In Love,"she's young, she said,
but look at me,
I have pretty ankles,
and look at my wrists, I have pretty
wrists
o my god,
I thought it was all working,
and now it's her again,
every time she phones you go crazy,
you told me it was over
you told me it was finished,
listen, I've lived long enough to become a
good woman,
why do you need a bad woman?
you need to be tortured, don't you?
you think life is rotten if somebody treats you
rotten it all fits,
doesn't it?
tell me, is that it? do you want to be treated like a
piece of shit?
and my son, my son was going to meet you.
I told my son
and I dropped all my lovers.
I stood up in a cafe and screamed
I'M IN LOVE,
and now you've made a fool of me...
I'm sorry, I said, I'm really sorry.
hold me, she said, will you please hold me?
I've never been in one of these things before, I said,
these triangles...
she got up and lit a cigarette, she was trembling all
over.she paced up and down,wild and crazy.she had
a small body.her arms were thin,very thin and when
she screamed and started beating me I held her
wrists and then I got it through the eyes:hatred,
centuries deep and true.I was wrong and graceless and
sick.all the things I had learned had been wasted.
there was no creature living as foul as I
and all my poems were
false.",shes young she said but look at me i have pretty ankles and look at my wrists i have pretty wrists o my god i thought it was all working and now its her again every time she phones you go crazy you told me it was over you told me it was finished listen ive lived long enough to become a good woman why do you need a bad woman you need to be tortured dont you you think life is rotten if somebody treats you rotten it all fits doesnt it tell me is that it do you want to be treated like a piece of shit and my son my son was going to meet you i told my son and i dropped all my lovers i stood up in a cafe and screamed im in love and now youve made a fool of me im sorry i said im really sorry hold me she said will you please hold me ive never been in one of these things before i said these triangles she got up and lit a cigarette she was trembling all overshe paced up and downwild and crazyshe had a small bodyher arms were thinvery thin and when she screamed and started beating me i held her wrists and then i got it through the eyeshatred centuries deep and truei was wrong and graceless and sickall the things i had learned had been wasted there was no creature living as foul as i and all my poems were false
Flophouse,"you haven't lived
until you've been in a
flophouse
with nothing but one
light bulb
and 56 men
squeezed together
on cots
with everybody
snoring
at once
and some of those
snores
so
deep and
gross and
unbelievable-
dark
snotty
gross
subhuman
wheezings
from hell
itself.
your mind
almost breaks
under those
death-like
sounds
and the
intermingling
odors:
hard
unwashed socks
pissed and
shitted
underwear
and over it all
slowly circulating
air
much like that
emanating from
uncovered
garbage
cans.
and those
bodies
in the dark
fat and
thin
and
bent
some
legless
armless
some
mindless
and worst of
all:
the total
absence of
hope
it shrouds
them
covers them
totally.
it's not
bearable.
you get
up
go out
walk the
streets
up and
down
sidewalks
past buildings
around the
corner
and back
up
the samestreet
thinking
those men
were all
children
once
what has happened
to
them?
and what has
happened
to
me?
it's dark
and cold
out
here.",you havent lived until youve been in a flophouse with nothing but one light bulb and men squeezed together on cots with everybody snoring at once and some of those snores so deep and gross and unbelievable dark snotty gross subhuman wheezings from hell itself your mind almost breaks under those deathlike sounds and the intermingling odors hard unwashed socks pissed and shitted underwear and over it all slowly circulating air much like that emanating from uncovered garbage cans and those bodies in the dark fat and thin and bent some legless armless some mindless and worst of all the total absence of hope it shrouds them covers them totally its not bearable you get up go out walk the streets up and down sidewalks past buildings around the corner and back up the samestreet thinking those men were all children once what has happened to them and what has happened to me its dark and cold out here
I Made A Mistake,"I reached up into the top of the closet
and took out a pair of blue panties
and showed them to her and
asked 'are these yours? '
and she looked and said,
'no, those belong to a dog.'
she left after that and I haven't seen
her since. she's not at her place.
I keep going there, leaving notes stuck
into the door. I go back and the notes
are still there. I take the Maltese cross
cut it down from my car mirror, tie it
to her doorknob with a shoelace, leave
a book of poems.
when I go back the next night everything
is still there.
I keep searching the streets for that
blood-wine battleship she drives
with a weak battery, and the doors
hanging from broken hinges.
I drive around the streets
an inch away from weeping,
ashamed of my sentimentality and
possible love.
a confused old man driving in the rain
wondering where the good luck
went.",i reached up into the top of the closet and took out a pair of blue panties and showed them to her and asked are these yours and she looked and said no those belong to a dog she left after that and i havent seen her since shes not at her place i keep going there leaving notes stuck into the door i go back and the notes are still there i take the maltese cross cut it down from my car mirror tie it to her doorknob with a shoelace leave a book of poems when i go back the next night everything is still there i keep searching the streets for that bloodwine battleship she drives with a weak battery and the doors hanging from broken hinges i drive around the streets an inch away from weeping ashamed of my sentimentality and possible love a confused old man driving in the rain wondering where the good luck went
True,"one of Lorca's best lines
is,
""agony, always
agony ...""",one of lorcas best lines is agony always agony
Having The Flu And With Nothing Else To Do,"I read a book about John Dos Passos and according to
the book once radical-communist
John ended up in the Hollywood Hills living off investments
and reading the
Wall Street Journal
this seems to happen all too often.
what hardly ever happens is
a man going from being a young conservative to becoming an
old wild-ass radical
however:
young conservatives always seem to become old
conservatives.
it's a kind of lifelong mental vapor-lock.
but when a young radical ends up an
old radical
the critics
and the conservatives
treat him as if he escaped from a mental
institution.
such is our politics and you can have it
all.
keep it.
sail it up your
ass.",i read a book about john dos passos and according to the book once radicalcommunist john ended up in the hollywood hills living off investments and reading the wall street journal this seems to happen all too often what hardly ever happens is a man going from being a young conservative to becoming an old wildass radical however young conservatives always seem to become old conservatives its a kind of lifelong mental vaporlock but when a young radical ends up an old radical the critics and the conservatives treat him as if he escaped from a mental institution such is our politics and you can have it all keep it sail it up your ass
Some People,"some people never go crazy.
me, sometimes I'll lie down behind the couch
for 3 or 4 days.
they'll find me there.
it's Cherub, they'll say, and
they pour wine down my throat
rub my chest
sprinkle me with oils.",some people never go crazy me sometimes ill lie down behind the couch for or days theyll find me there its cherub theyll say and they pour wine down my throat rub my chest sprinkle me with oils
Rhyming Poem,"the goldfish sing all night with guitars,
and the whores go down with the stars,
the whores go down with the stars",the goldfish sing all night with guitars and the whores go down with the stars the whores go down with the stars
"His Wife, The Painter","There are sketches on the walls of men and women and ducks,
and outside a large green bus swerves through traffic like
insanity sprung from a waving line; Turgenev, Turgenev,
says the radio, and Jane Austin, Jane Austin, too.
'I am going to do her portrait on the 28th, while you are
at work.'
He is just this edge of fat and he walks constantly, he
fritters; they have him; they are eating him hollow like
a webbed fly, and his eyes are red-suckled with anger-fear.
He feels hatred and discard of the world, sharper than
his razor, and his gut-feel hangs like a wet polyp; and he
self-decisions himself defeated trying to shake his
hung beard from razor in water (like life) , not warm enough.
Daumier. Rue Transonian, le 15 Avril, 1843. (lithograph.)
Paris, Bibliotheque Nationale.
'She has a face unlike that of any woman I have ever known.'
'What is it? A love affair? '
'Silly. I can't love a woman. Besides, she's pregnant.'
I can paint- a flower eaten by a snake; that sunlight is a
lie; and that markets smell of shoes and naked boys clothed,
and that under everything some river, some beat, some twist that
clambers along the edge of my temple and bites nip-dizzy...
men drive cars and paint their houses,
but they are mad; men sit in barber chairs; buy hats.
Corot. Recollection of Mortefontaine.
Paris, Louvre.
'I must write Kaiser, though I think he's a homosexual.'
'Are you still reading Freud? '
'Page 299.'
She made a little hat and he fastened two snaps under one
arm, reaching up from the bed like a long feeler from the
snail, and she went to church, and he thought now I h've
time and the dog.
About church: the trouble with a mask is it
never changes.
So rude the flowers that grow and do not grow beautiful.
So magic the chair on the patio that does not hold legs
and belly and arm and neck and mouth that bites into the
wind like the ned of a tunnel.
He turned in bed and thought: I am searching for some
segment in the air. It floats about the peoples heads.
When it rains on the trees it sits between the branches
warmer and more blood-real than the dove.
Orozco. Christ Destroying the Cross.
Hanover, Dartmouth College, Baker Library.
He burned away in his sleep.",there are sketches on the walls of men and women and ducks and outside a large green bus swerves through traffic like insanity sprung from a waving line turgenev turgenev says the radio and jane austin jane austin too i am going to do her portrait on the th while you are at work he is just this edge of fat and he walks constantly he fritters they have him they are eating him hollow like a webbed fly and his eyes are redsuckled with angerfear he feels hatred and discard of the world sharper than his razor and his gutfeel hangs like a wet polyp and he selfdecisions himself defeated trying to shake his hung beard from razor in water like life not warm enough daumier rue transonian le avril lithograph paris bibliotheque nationale she has a face unlike that of any woman i have ever known what is it a love affair silly i cant love a woman besides shes pregnant i can paint a flower eaten by a snake that sunlight is a lie and that markets smell of shoes and naked boys clothed and that under everything some river some beat some twist that clambers along the edge of my temple and bites nipdizzy men drive cars and paint their houses but they are mad men sit in barber chairs buy hats corot recollection of mortefontaine paris louvre i must write kaiser though i think hes a homosexual are you still reading freud page she made a little hat and he fastened two snaps under one arm reaching up from the bed like a long feeler from the snail and she went to church and he thought now i hve time and the dog about church the trouble with a mask is it never changes so rude the flowers that grow and do not grow beautiful so magic the chair on the patio that does not hold legs and belly and arm and neck and mouth that bites into the wind like the ned of a tunnel he turned in bed and thought i am searching for some segment in the air it floats about the peoples heads when it rains on the trees it sits between the branches warmer and more bloodreal than the dove orozco christ destroying the cross hanover dartmouth college baker library he burned away in his sleep
My Father,"was a truly amazing man
he pretended to be
rich
even though we lived on beans and mush and weenies
when we sat down to eat, he said,
""not everybody can eat like this.""
and because he wanted to be rich or because he actually
thought he was rich
he always voted Republican
and he voted for Hoover against Roosevelt
and he lost
and then he voted for Alf Landon against Roosevelt
and he lost again
saying, ""I don't know what this world is coming to,
now we've got that god damned Red in there again
and the Russians will be in our backyard next!""
I think it was my father who made me decide to
become a bum.
I decided that if a man like that wants to be rich
then I want to be poor.
and I became a bum.
I lived on nickles and dimes and in cheap rooms and
on park benches.
I thought maybe the bums knew something.
but I found out that most of the bums wanted to be
rich too.
they had just failed at that.
so caught between my father and the bums
I had no place to go
and I went there fast and slow.
never voted Republican
never voted.
buried him
like an oddity of the earth
like a hundred thousand oddities
like millions of other oddities,
wasted.",was a truly amazing man he pretended to be rich even though we lived on beans and mush and weenies when we sat down to eat he said not everybody can eat like this and because he wanted to be rich or because he actually thought he was rich he always voted republican and he voted for hoover against roosevelt and he lost and then he voted for alf landon against roosevelt and he lost again saying i dont know what this world is coming to now weve got that god damned red in there again and the russians will be in our backyard next i think it was my father who made me decide to become a bum i decided that if a man like that wants to be rich then i want to be poor and i became a bum i lived on nickles and dimes and in cheap rooms and on park benches i thought maybe the bums knew something but i found out that most of the bums wanted to be rich too they had just failed at that so caught between my father and the bums i had no place to go and i went there fast and slow never voted republican never voted buried him like an oddity of the earth like a hundred thousand oddities like millions of other oddities wasted
Paris,"never
even in calmer times
have I ever
dreamed of
bicycling through that
city
wearing a
beret
and
Camus
always
pissed
me
off.",never even in calmer times have i ever dreamed of bicycling through that city wearing a beret and camus always pissed me off
My First Affair With That Older Woman,"when I look back now
at the abuse I took from
her
I feel shame that I was so
innocent,
but I must say
she did match me drink for
drink,
and I realized that her life
her feelings for things
had been ruined
along the way
and that I was no mare than a
temporary
companion;
she was ten years older
and mortally hurt by the past
and the present;
she treated me badly:
desertion, other
men;
she brought me immense
pain,
continually;
she lied, stole;
there was desertion,
other men,
yet we had our moments; and
our little soap opera ended
with her in a coma
in the hospital,
and I sat at her bed
for hours
talking to her,
and then she opened her eyes
and saw me:
""I knew it would be you,""
she said.
then hse closed her
eyes.
the next day she was
dead.
I drank alone
for two years
after that.",when i look back now at the abuse i took from her i feel shame that i was so innocent but i must say she did match me drink for drink and i realized that her life her feelings for things had been ruined along the way and that i was no mare than a temporary companion she was ten years older and mortally hurt by the past and the present she treated me badly desertion other men she brought me immense pain continually she lied stole there was desertion other men yet we had our moments and our little soap opera ended with her in a coma in the hospital and i sat at her bed for hours talking to her and then she opened her eyes and saw me i knew it would be you she said then hse closed her eyes the next day she was dead i drank alone for two years after that
My Groupie,"I read last Saturday in the
redwoods outside of Santa Cruz
and I was about 3/4's finished
when I heard a long high scream
and a quite attractive
young girl came running toward me
long gown & divine eyes of fire
and she leaped up on the stage
and screamed: ""I WANT YOU!
I WANT YOU! TAKE ME! TAKE
ME!""
I told her, ""look, get the hell
away from me.""
but she kept tearing at my
clothing and throwing herself
at me.
""where were you,"" I
asked her, ""when I was living
on one candy bar a day and
sending short stories to the
Atlantic Monthly?""
she grabbed my balls and almost
twisted them off. her kisses
tasted like shitsoup.
2 women jumped up on the stage
and
carried her off into the
woods.
I could still hear her screams
as I began the next poem.
mabye, I thought, I should have
taken her on stage in front
of all those eyes.
but one can never be sure
whether it's good poetry or
bad acid.",i read last saturday in the redwoods outside of santa cruz and i was about s finished when i heard a long high scream and a quite attractive young girl came running toward me long gown divine eyes of fire and she leaped up on the stage and screamed i want you i want you take me take me i told her look get the hell away from me but she kept tearing at my clothing and throwing herself at me where were you i asked her when i was living on one candy bar a day and sending short stories to the atlantic monthly she grabbed my balls and almost twisted them off her kisses tasted like shitsoup women jumped up on the stage and carried her off into the woods i could still hear her screams as i began the next poem mabye i thought i should have taken her on stage in front of all those eyes but one can never be sure whether its good poetry or bad acid
Writing,"often it is the only
thing
between you and
impossibility.
no drink,
no woman's love,
no wealth
can
match it.",often it is the only thing between you and impossibility no drink no womans love no wealth can match it
Hot,"she was hot, she was so hot
I didn't want anybody else to have her,
and if I didn't get home on time
she'd be gone, and I couldn't bear that-
I'd go mad...
it was foolish I know, childish,
but I was caught in it, I was caught.
I delivered all the mail
and then Henderson put me on the night pickup run
in an old army truck,
the damn thing began to heat halfway through the run
and the night went on
me thinking about my hot Miriam
and jumping in and out of the truck
filling mailsacks
the engine continuing to heat up
the temperature needle was at the top
HOT HOT
like Miriam.
leaped in and out
3 more pickups and into the station
I'd be, my car
waiting to get me to Miriam who sat on my blue couch
with scotch on the rocks
crossing her legs and swinging her ankles
like she did,
2 more stops...
the truck stalled at a traffic light, it was hell
kicking it over
again...
I had to be home by 8,8 was the deadline for Miriam.
I made the last pickup and the truck stalled at a signal
1/2 block from the station...
it wouldn't start, it couldn't start...
I locked the doors, pulled the key and ran down to the
station...
I threw the keys down...signed out...
your goddamned truck is stalled at the signal,
I shouted,
Pico and Western...
...I ran down the hall,put the key into the door,
opened it...her drinking glass was there, and a note:
sun of a bitch:
I waited until 5 after ate
you don't love me
you sun of a bitch
somebody will love me
I been wateing all day
Miriam
I poured a drink and let the water run into the tub
there were 5,000 bars in town
and I'd make 25 of them
looking for Miriam
her purple teddy bear held the note
as he leaned against a pillow
I gave the bear a drink, myself a drink
and got into the hot
water.",she was hot she was so hot i didnt want anybody else to have her and if i didnt get home on time shed be gone and i couldnt bear that id go mad it was foolish i know childish but i was caught in it i was caught i delivered all the mail and then henderson put me on the night pickup run in an old army truck the damn thing began to heat halfway through the run and the night went on me thinking about my hot miriam and jumping in and out of the truck filling mailsacks the engine continuing to heat up the temperature needle was at the top hot hot like miriam leaped in and out more pickups and into the station id be my car waiting to get me to miriam who sat on my blue couch with scotch on the rocks crossing her legs and swinging her ankles like she did more stops the truck stalled at a traffic light it was hell kicking it over again i had to be home by was the deadline for miriam i made the last pickup and the truck stalled at a signal block from the station it wouldnt start it couldnt start i locked the doors pulled the key and ran down to the station i threw the keys downsigned out your goddamned truck is stalled at the signal i shouted pico and western i ran down the hallput the key into the door opened ither drinking glass was there and a note sun of a bitch i waited until after ate you dont love me you sun of a bitch somebody will love me i been wateing all day miriam i poured a drink and let the water run into the tub there were bars in town and id make of them looking for miriam her purple teddy bear held the note as he leaned against a pillow i gave the bear a drink myself a drink and got into the hot water
Melancholia,"the history of melancholia
includes all of us.
me, I writhe in dirty sheets
while staring at blue walls
and nothing.
I have gotten so used to melancholia
that
I greet it like an old
friend.
I will now do 15 minutes of grieving
for the lost redhead,
I tell the gods.
I do it and feel quite bad
quite sad,
then I rise
CLEANSED
even though nothing
is solved.
that’s what I get for kicking
religion in the ass.
I should have kicked the redhead
in the ass
where her brains and her bread and
butter are
at …
but, no, I’ve felt sad
about everything:
the lost redhead was just another
smash in a lifelong
loss …
I listen to drums on the radio now
and grin.
there is something wrong with me
besides
melancholia.",the history of melancholia includes all of us me i writhe in dirty sheets while staring at blue walls and nothing i have gotten so used to melancholia that i greet it like an old friend i will now do minutes of grieving for the lost redhead i tell the gods i do it and feel quite bad quite sad then i rise cleansed even though nothing is solved thats what i get for kicking religion in the ass i should have kicked the redhead in the ass where her brains and her bread and butter are at but no ive felt sad about everything the lost redhead was just another smash in a lifelong loss i listen to drums on the radio now and grin there is something wrong with me besides melancholia
Metamorphosis,"a girlfriend came in
built me a bed
scrubbed and waxed the kitchen floor
scrubbed the walls
vacuumed
cleaned the toilet
the bathtub
scrubbed the bathroom floor
and cut my toenails and
my hair.
then
all on the same day
the plumber came and fixed the kitchen faucet
and the toilet
and the gas man fixed the heater
and the phone man fixed the phone.
noe I sit in all this perfection.
it is quiet.
I have broken off with all 3 of my girlfriends.
I felt better when everything was in
disorder.
it will take me some months to get back to normal:
I can't even find a roach to commune with.
I have lost my rythm.
I can't sleep.
I can't eat.
I have been robbed of
my filth.",a girlfriend came in built me a bed scrubbed and waxed the kitchen floor scrubbed the walls vacuumed cleaned the toilet the bathtub scrubbed the bathroom floor and cut my toenails and my hair then all on the same day the plumber came and fixed the kitchen faucet and the toilet and the gas man fixed the heater and the phone man fixed the phone noe i sit in all this perfection it is quiet i have broken off with all of my girlfriends i felt better when everything was in disorder it will take me some months to get back to normal i cant even find a roach to commune with i have lost my rythm i cant sleep i cant eat i have been robbed of my filth
"Hello, How Are You?","this fear of being what they are:
dead.
at least they are not out on the street, they
are careful to stay indoors, those
pasty mad who sit alone before their tv sets,
their lives full of canned, mutilated laughter.
their ideal neighborhood
of parked cars
of little green lawns
of little homes
the little doors that open and close
as their relatives visit
throughout the holidays
the doors closing
behind the dying who die so slowly
behind the dead who are still alive
in your quiet average neighborhood
of winding streets
of agony
of confusion
of horror
of fear
of ignorance.
a dog standing behind a fence.
a man silent at the window.",this fear of being what they are dead at least they are not out on the street they are careful to stay indoors those pasty mad who sit alone before their tv sets their lives full of canned mutilated laughter their ideal neighborhood of parked cars of little green lawns of little homes the little doors that open and close as their relatives visit throughout the holidays the doors closing behind the dying who die so slowly behind the dead who are still alive in your quiet average neighborhood of winding streets of agony of confusion of horror of fear of ignorance a dog standing behind a fence a man silent at the window
Rain,a symphony orchestra.,a symphony orchestra
